Ayurvedic Medicine,Diseases Cured,Cautions and Precautions,Properties,Key Ingredients,Mode of Action
Avagaha Sweda with Trayodashanga Kashayam,joint pain,Not recommended during fever,"Relieves pain, enhances joint mobility",Trayodashanga Kashayam (herbal decoction),Reduces pain and inflammation.
Avagaha Sweda with Gokshura Kwatha,Urinary tract disorders,Avoid during pregnancy,"Supports urinary health, relieves retention",Gokshura Kwatha (decoction of Tribulus terrestris),Supports urinary system health.
Avagaha Sweda with Gokshura Kwatha,urinary retention,Avoid during pregnancy,"Supports urinary health, relieves retention",Gokshura Kwatha (decoction of Tribulus terrestris),Supports urinary system health.
Avagaha Sweda with Mandoora Bhasma,Anemia,Use under expert guidance,"Increases hemoglobin levels, boosts energy",Mandoora Bhasma (iron compound),Provides iron and supports overall health.
Avagaha Sweda with Mandoora Bhasma,weakness,Use under expert guidance,"Increases hemoglobin levels, boosts energy",Mandoora Bhasma (iron compound),Provides iron and supports overall health.
Avagaha Sweda with Shigru Taila,Joint pain,Avoid during pregnancy,"Reduces joint inflammation, relieves pain",Shigru Taila (medicated oil),Reduces joint pain and inflammation.
Avagaha Sweda with Shigru Taila,gout,Avoid during pregnancy,"Reduces joint inflammation, relieves pain",Shigru Taila (medicated oil),Reduces joint pain and inflammation.
Avagaha Sweda with Brihat Dashamoola Kashayam,Postpartum care,Not recommended during pregnancy,"Strengthens muscles, promotes postpartum recovery",Brihat Dashamoola Kashayam (herbal decoction),Reduces pain and inflammation.
Avagaha Sweda with Brihat Dashamoola Kashayam,muscle weakness,Not recommended during pregnancy,"Strengthens muscles, promotes postpartum recovery",Brihat Dashamoola Kashayam (herbal decoction),Reduces pain and inflammation.
Avagaha Sweda with Arka Taila,Skin conditions,Avoid in severe burns,"Heals burns, soothes skin",Arka Taila (medicated oil),Supports skin health and reduces inflammation.
Avagaha Sweda with Arka Taila,burns,Avoid in severe burns,"Heals burns, soothes skin",Arka Taila (medicated oil),Supports skin health and reduces inflammation.
Triphala Syringe,Digestive disorders,Avoid during pregnancy and lactation,"Laxative, Detoxifying","Triphala (Amalaki, Bibhitaki, Haritaki)",Supports digestion and detoxification.
Triphala Syringe,Constipation,Avoid during pregnancy and lactation,"Laxative, Detoxifying","Triphala (Amalaki, Bibhitaki, Haritaki)",Supports digestion and detoxification.
Brahmi Syringe,Memory and cognitive disorders,Not recommended for individuals with hypothyroidism,"Memory enhancer, Nervine tonic",Brahmi (Bacopa monnieri),Enhances cognitive function and reduces stress.
Pippali Rasayana Syringe,Respiratory disorders,Avoid in case of gastric ulcers,"Immunomodulatory, Respiratory support","Pippali (Piper longum), Ghee, Honey",Supports digestion and respiratory health.
Pippali Rasayana Syringe,Immunity booster,Avoid in case of gastric ulcers,"Immunomodulatory, Respiratory support","Pippali (Piper longum), Ghee, Honey",Supports digestion and respiratory health.
Chandraprabha Vati Syringe,Urinary tract infections,Not suitable for those with severe kidney diseases,"Diuretic, Antimicrobial","Guggulu, Gokshura, Chandana",Supports urinary system health.
Chandraprabha Vati Syringe,Kidney stones,Not suitable for those with severe kidney diseases,"Diuretic, Antimicrobial","Guggulu, Gokshura, Chandana",Supports urinary system health.
Ashwagandha Syringe,Stress,Avoid during pregnancy,"Adaptogenic, Nervine tonic",Ashwagandha (Withania somnifera),Reduces stress and promotes vitality.
Ashwagandha Syringe,Anxiety,Avoid during pregnancy,"Adaptogenic, Nervine tonic",Ashwagandha (Withania somnifera),Reduces stress and promotes vitality.
Ashwagandha Syringe,Fatigue,Avoid during pregnancy,"Adaptogenic, Nervine tonic",Ashwagandha (Withania somnifera),Reduces stress and promotes vitality.
Haritaki Syringe,Constipation,Avoid during pregnancy and lactation,"Laxative, Digestive",Haritaki (Terminalia chebula),Supports digestion and detoxification.
Haritaki Syringe,Indigestion,Avoid during pregnancy and lactation,"Laxative, Digestive",Haritaki (Terminalia chebula),Supports digestion and detoxification.
Guduchi Syringe,Immune disorders,Not recommended for individuals with autoimmune diseases,"Immunomodulatory, Antipyretic",Guduchi (Tinospora cordifolia),Boosts immunity and reduces inflammation.
Guduchi Syringe,Fever,Not recommended for individuals with autoimmune diseases,"Immunomodulatory, Antipyretic",Guduchi (Tinospora cordifolia),Boosts immunity and reduces inflammation.
Neem Syringe,Skin disorders,Avoid in case of diarrhea,"Blood purifier, Antifungal",Neem (Azadirachta indica),Supports skin health and reduces inflammation.
Neem Syringe,Blood purification,Avoid in case of diarrhea,"Blood purifier, Antifungal",Neem (Azadirachta indica),Supports skin health and reduces inflammation.
Shatavari Syringe,Hormonal imbalance,Not suitable for individuals with estrogen-sensitive conditions,"Hormone regulator, Rejuvenative",Shatavari (Asparagus racemosus),Supports female reproductive health.
Shatavari Syringe,Female reproductive disorders,Not suitable for individuals with estrogen-sensitive conditions,"Hormone regulator, Rejuvenative",Shatavari (Asparagus racemosus),Supports female reproductive health.
Trikatu Syringe,Cold,Avoid in cases of gastritis,"Decongestant, Digestive","Trikatu (Ginger, Black Pepper, Long Pepper)",Aids in digestion and metabolism.
Trikatu Syringe,Cough,Avoid in cases of gastritis,"Decongestant, Digestive","Trikatu (Ginger, Black Pepper, Long Pepper)",Aids in digestion and metabolism.
Trikatu Syringe,Respiratory congestion,Avoid in cases of gastritis,"Decongestant, Digestive","Trikatu (Ginger, Black Pepper, Long Pepper)",Aids in digestion and metabolism.
Guggul Syringe,High cholesterol,Not recommended during pregnancy,"Cholesterol regulator, Anti-inflammatory",Guggul (Commiphora wightii),Supports joint health and metabolism.
Guggul Syringe,Joint pain,Not recommended during pregnancy,"Cholesterol regulator, Anti-inflammatory",Guggul (Commiphora wightii),Supports joint health and metabolism.
Tulsi Syringe,Respiratory infections,Avoid in large quantities during pregnancy,"Immunomodulatory, Adaptogenic",Tulsi (Ocimum sanctum),Boosts immunity and reduces stress.
Tulsi Syringe,Stress,Avoid in large quantities during pregnancy,"Immunomodulatory, Adaptogenic",Tulsi (Ocimum sanctum),Boosts immunity and reduces stress.
Bhringraj Syringe,Hair loss,Not recommended for excessively oily scalps,"Hair tonic, Scalp conditioner",Bhringraj (Eclipta alba),Supports hair and skin health.
Bhringraj Syringe,Premature graying,Not recommended for excessively oily scalps,"Hair tonic, Scalp conditioner",Bhringraj (Eclipta alba),Supports hair and skin health.
Aloe Vera Syringe,Skin burns,Avoid in case of abdominal pain,"Cooling, Healing",Aloe Vera (Aloe barbadensis miller),Supports skin and digestive health.
Aloe Vera Syringe,Digestive disorders,Avoid in case of abdominal pain,"Cooling, Healing",Aloe Vera (Aloe barbadensis miller),Supports skin and digestive health.
Manjistha Syringe,Skin conditions,Not suitable for individuals with low blood sugar,"Blood purifier, Lymphatic cleanser",Manjistha (Rubia cordifolia),Supports detoxification and skin health.
Manjistha Syringe,Lymphatic health,Not suitable for individuals with low blood sugar,"Blood purifier, Lymphatic cleanser",Manjistha (Rubia cordifolia),Supports detoxification and skin health.
Punarnava Syringe,Edema,Not recommended for those with low blood pressure,"Diuretic, Kidney support",Punarnava (Boerhavia diffusa),Supports kidney function and reduces swelling.
Punarnava Syringe,Kidney disorders,Not recommended for those with low blood pressure,"Diuretic, Kidney support",Punarnava (Boerhavia diffusa),Supports kidney function and reduces swelling.
Gokshura Syringe,Urinary disorders,Avoid in cases of hypertension,"Diuretic, Aphrodisiac",Gokshura (Tribulus terrestris),Supports urinary system health.
Gokshura Syringe,Sexual health,Avoid in cases of hypertension,"Diuretic, Aphrodisiac",Gokshura (Tribulus terrestris),Supports urinary system health.
Arjuna Syringe,Heart health,Not recommended for low blood pressure,"Cardioprotective, Hypotensive",Arjuna (Terminalia arjuna),Supports heart and circulatory health.
Arjuna Syringe,High blood pressure,Not recommended for low blood pressure,"Cardioprotective, Hypotensive",Arjuna (Terminalia arjuna),Supports heart and circulatory health.
Kutki Syringe,Liver disorders,Avoid during pregnancy and lactation,"Hepatoprotective, Choleretic",Kutki (Picrorhiza kurroa),Supports liver function and detoxification.
Kutki Syringe,Jaundice,Avoid during pregnancy and lactation,"Hepatoprotective, Choleretic",Kutki (Picrorhiza kurroa),Supports liver function and detoxification.
Vidang Syringe,Intestinal parasites,Not recommended for pregnant women,"Anthelmintic, Digestive",Vidang (Embelia ribes),Supports digestion and detoxification.
Vidang Syringe,Digestive disorders,Not recommended for pregnant women,"Anthelmintic, Digestive",Vidang (Embelia ribes),Supports digestion and detoxification.
Bilva Syringe,Diarrhea,Avoid in cases of constipation,"Astringent, Digestive",Bilva (Aegle marmelos),Supports digestion and reduces abdominal pain.
Bilva Syringe,Irritable bowel syndrome,Avoid in cases of constipation,"Astringent, Digestive",Bilva (Aegle marmelos),Supports digestion and reduces abdominal pain.
Shankhpushpi Syringe,Anxiety,Not recommended during pregnancy,"Nervine tonic, Anxiolytic",Shankhpushpi (Convolvulus pluricaulis),Supports cognitive function and reduces stress.
Shankhpushpi Syringe,Insomnia,Not recommended during pregnancy,"Nervine tonic, Anxiolytic",Shankhpushpi (Convolvulus pluricaulis),Supports cognitive function and reduces stress.
Trijataka Syringe,Respiratory allergies,Avoid if allergic to any component,"Antiallergic, Decongestant","Trijataka (Cinnamon, Cardamom, Clove)",Mode of action not specified
Trijataka Syringe,Sinusitis,Avoid if allergic to any component,"Antiallergic, Decongestant","Trijataka (Cinnamon, Cardamom, Clove)",Mode of action not specified
Amla Rasayana Syringe,Immunity boost,Avoid in cases of hyperacidity,"Immunomodulatory, Hair tonic",Amla (Indian Gooseberry),Supports general health and immunity
Amla Rasayana Syringe,Hair health,Avoid in cases of hyperacidity,"Immunomodulatory, Hair tonic",Amla (Indian Gooseberry),Supports general health and immunity
Brahmi Ghrita Syringe,Anxiety,Not recommended for individuals with high cholesterol,"Nervine tonic, Memory enhancer","Brahmi (Bacopa monnieri), Ghee",Promotes cognitive function
Brahmi Ghrita Syringe,Memory enhancement,Not recommended for individuals with high cholesterol,"Nervine tonic, Memory enhancer","Brahmi (Bacopa monnieri), Ghee",Promotes cognitive function
Chandan Syringe,Skin cooling,Avoid excessive external application,"Cooling, Skin rejuvenation",Sandalwood (Santalum album),Skin and cooling effects
Chandan Syringe,Skin disorders,Avoid excessive external application,"Cooling, Skin rejuvenation",Sandalwood (Santalum album),Skin and cooling effects
Giloy Syringe,Fever,Not recommended during pregnancy,"Antipyretic, Immunomodulatory",Giloy (Tinospora cordifolia),Immunomodulatory
Giloy Syringe,Dengue prevention,Not recommended during pregnancy,"Antipyretic, Immunomodulatory",Giloy (Tinospora cordifolia),Immunomodulatory
Hingvastak Syringe,Digestive disorders,Avoid in cases of gastric ulcers,"Digestive, Carminative","Hing (Asafoetida), Various herbs",Supports digestive health
Hingvastak Syringe,Bloating,Avoid in cases of gastric ulcers,"Digestive, Carminative","Hing (Asafoetida), Various herbs",Supports digestive health
Lodhrasava Syringe,Menstrual disorders,Not suitable for individuals with constipation,"Uterine tonic, Blood purifier","Lodhra (Symplocos racemosa), Various herbs",Mode of action not specified
Lodhrasava Syringe,Acne,Not suitable for individuals with constipation,"Uterine tonic, Blood purifier","Lodhra (Symplocos racemosa), Various herbs",Mode of action not specified
Mahanarayan Oil Syringe,Joint pain,Avoid in cases of open wounds,"Anti-inflammatory, Analgesic","Ashwagandha, Shatavari, and various herbs",Muscle and joint relaxation
Mahanarayan Oil Syringe,Arthritis,Avoid in cases of open wounds,"Anti-inflammatory, Analgesic","Ashwagandha, Shatavari, and various herbs",Muscle and joint relaxation
Mahasudarshan Syringe,Fever,Not recommended during pregnancy,"Antipyretic, Antimalarial",Various herbs,Immune support and fever management
Mahasudarshan Syringe,Malaria,Not recommended during pregnancy,"Antipyretic, Antimalarial",Various herbs,Immune support and fever management
Manasamitra Vatakam Syringe,Depression,Not suitable for individuals with low blood pressure,"Mood enhancer, Anxiolytic",Various herbs,Supports mental health and relaxation
Manasamitra Vatakam Syringe,Anxiety,Not suitable for individuals with low blood pressure,"Mood enhancer, Anxiolytic",Various herbs,Supports mental health and relaxation
Musta Syringe,Diarrhea,Avoid during pregnancy and lactation,"Antidiarrheal, Digestive",Musta (Cyperus rotundus),Digestive and anti-inflammatory effects
Musta Syringe,Gastroenteritis,Avoid during pregnancy and lactation,"Antidiarrheal, Digestive",Musta (Cyperus rotundus),Digestive and anti-inflammatory effects
Praval Bhasma Syringe,Calcium deficiency,Not suitable for individuals with high calcium levels,"Calcium supplement, Antacid",Coral (Processed coral powder),Mode of action not specified
Praval Bhasma Syringe,Acidity,Not suitable for individuals with high calcium levels,"Calcium supplement, Antacid",Coral (Processed coral powder),Mode of action not specified
Rasnadi Kashayam Syringe,Rheumatoid arthritis,Not recommended during pregnancy,"Anti-inflammatory, Analgesic",Various herbs,Mode of action not specified
Rasnadi Kashayam Syringe,Pain,Not recommended during pregnancy,"Anti-inflammatory, Analgesic",Various herbs,Mode of action not specified
Sarivadyasava Syringe,Skin disorders,Avoid in cases of diarrhea,"Blood purifier, Cooling","Sariva (Hemidesmus indicus), Various herbs",Mode of action not specified
Sarivadyasava Syringe,Blood purification,Avoid in cases of diarrhea,"Blood purifier, Cooling","Sariva (Hemidesmus indicus), Various herbs",Mode of action not specified
Shankhapushpi Syringe,Memory enhancement,Not suitable for individuals with low blood pressure,"Nervine tonic, Adaptogenic",Shankhapushpi (Convolvulus pluricaulis),Nervine tonic and cognitive support
Shankhapushpi Syringe,Stress,Not suitable for individuals with low blood pressure,"Nervine tonic, Adaptogenic",Shankhapushpi (Convolvulus pluricaulis),Nervine tonic and cognitive support
Varanadi Kashayam Syringe,Obesity,Not recommended during pregnancy,"Weight loss support, Hepatoprotective",Various herbs,Mode of action not specified
Varanadi Kashayam Syringe,Liver disorders,Not recommended during pregnancy,"Weight loss support, Hepatoprotective",Various herbs,Mode of action not specified
Vidaryadi Ghrita Syringe,Muscle strength,Avoid in cases of high cholesterol,"Muscle tonic, Rejuvenative","Vidari (Pueraria tuberosa), Ghee",Supports general health and immunity
Vidaryadi Ghrita Syringe,Fatigue,Avoid in cases of high cholesterol,"Muscle tonic, Rejuvenative","Vidari (Pueraria tuberosa), Ghee",Supports general health and immunity
Manasamitra Vatakam,Anxiety,Not to be taken on an empty stomach,"Nervine tonic, Sedative, Anti-anxiety, Antidepressant, Improves cognitive function","Saffron (Crocus sativus), Pearl oyster shell (Margaritifera margaritifera), Indian bdellium (Commiphora wightii)",Supports mental health and relaxation
Manasamitra Vatakam,Depression,Not to be taken on an empty stomach,"Nervine tonic, Sedative, Anti-anxiety, Antidepressant, Improves cognitive function","Saffron (Crocus sativus), Pearl oyster shell (Margaritifera margaritifera), Indian bdellium (Commiphora wightii)",Supports mental health and relaxation
Manasamitra Vatakam,Insomnia,Not to be taken on an empty stomach,"Nervine tonic, Sedative, Anti-anxiety, Antidepressant, Improves cognitive function","Saffron (Crocus sativus), Pearl oyster shell (Margaritifera margaritifera), Indian bdellium (Commiphora wightii)",Supports mental health and relaxation
Mahatiktaka Ghrita,Skin disorders,Avoid in cases of diarrhea,Ayurvedic herbal medicine,"Neem (Azadirachta indica), Ghee",Skin and wound healing
Kaishore Guggulu Ghrita,Arthritis,Monitor cholesterol levels,Ayurvedic herbal medicine,"Guggulu (Commiphora wightii), Ghee",Supports joint and skin health
Kaishore Guggulu Ghrita,joint pain,Monitor cholesterol levels,Ayurvedic herbal medicine,"Guggulu (Commiphora wightii), Ghee",Supports joint and skin health
Saraswatarishta Ghrita,Nervous system support,Avoid in hyperthyroidism,Ayurvedic herbal medicine,"Saraswati (a blend of herbs), Ghee",Nervine tonic and cognitive support
Chandraprabha Ghrita,Urinary disorders,Avoid in kidney stones,Ayurvedic herbal medicine,"Chandraprabha (a blend of herbs), Ghee",Supports urinary and reproductive health
Guduchyadi Ghrita,Immunity,Caution in diabetes,Ayurvedic herbal medicine,"Guduchi (Tinospora cordifolia), Ghee",Immune support and general health
Guduchyadi Ghrita,fever,Caution in diabetes,Ayurvedic herbal medicine,"Guduchi (Tinospora cordifolia), Ghee",Immune support and general health
Hingwadi Ghrita,Digestive disorders,Avoid in gastritis,Ayurvedic herbal medicine,"Hing (Asafoetida), Ghee",Supports digestive health
Bhringaraj Ghrita,Hair and skin health,Check for allergies,Ayurvedic herbal medicine,"Bhringaraj (Eclipta alba), Ghee",Supports hair and scalp health
Bilvadi Ghrita,Gastrointestinal issues,Avoid in constipation,Ayurvedic herbal medicine,"Bilva (Aegle marmelos), Ghee",Supports digestive and respiratory health
Triphala Ghrita,Digestive health,Monitor cholesterol levels,Ayurvedic herbal medicine,"Triphala (a blend of three fruits), Ghee",Digestive support and detoxification
Maha Panchagavya Ghrita,General health tonic,Check for dairy allergies,Ayurvedic herbal medicine,"Panchagavya (a mixture of cow products), Ghee",Supports general health and immunity
Abhayarishta Ghrita,Constipation,Avoid in diarrhea,Ayurvedic herbal medicine,"Abhayarishta (a blend of herbs), Ghee",Supports digestive and liver health
Dashamula Ghrita,Vata disorders,Use cautiously in Kapha imbalances,Ayurvedic herbal medicine,"Dashamula (a blend of ten roots), Ghee",Supports respiratory and digestive health
Brahmi Amalaki Ghrita,Brain and immunity,Caution in diabetes,Ayurvedic herbal medicine,"Brahmi (Bacopa monnieri), Amalaki (Emblica officinalis), Ghee",Cognitive and digestive support
Haridra Ghrita,Inflammation,Avoid in gallbladder issues,Ayurvedic herbal medicine,"Haridra (Turmeric), Ghee",Anti-inflammatory and antioxidant effects
Mahakalyanaka Ghrita,Respiratory issues,Use cautiously in obesity,Ayurvedic herbal medicine,"Kalyanaka (a blend of herbs), Ghee",Supports reproductive and urinary health
1. Brahmi Ghrita,Memory,Avoid in lactose intolerance,"Nervine tonic, brain nourishing","Brahmi (Bacopa monnieri), ghee, various herbs and spices",Supports cognitive function and brain health.
1. Brahmi Ghrita,anxiety,Avoid in lactose intolerance,"Nervine tonic, brain nourishing","Brahmi (Bacopa monnieri), ghee, various herbs and spices",Supports cognitive function and brain health.
2. Shatavari Ghrita,Female reproductive issues,High cholesterol caution,"Rejuvenating, female reproductive","Shatavari (Asparagus racemosus), ghee, herbs and spices",Supports reproductive health in women.
3. Panchagavya Ghrita,General health tonic,Check for dairy allergies,"Immunity booster, digestive","Cow's milk, ghee, cow's urine, cow's dung, herbs",Promotes overall well-being.
4. Mahatiktaka Ghrita,Skin disorders,Avoid in cases of diarrhea,"Anti-inflammatory, skin health","Neem (Azadirachta indica), ghee, various herbs",Supports skin health and wound healing.
5. Kaishore Guggulu Ghrita,Arthritis,Monitor cholesterol levels,"Joint health, detoxification","Guggul (Commiphora wightii), ghee, various herbs",Supports joint and skin health.
5. Kaishore Guggulu Ghrita,joint pain,Monitor cholesterol levels,"Joint health, detoxification","Guggul (Commiphora wightii), ghee, various herbs",Supports joint and skin health.
6. Kalyanaka Ghrita,Respiratory issues,Use cautiously in obesity,"Promotes longevity, general health","Ghee, various herbs and spices",Promotes general health and vitality.
7. Saraswatarishta Ghrita,Nervous system support,Avoid in hyperthyroidism,"Nervine tonic, cognitive function",Various herbs and spices,Supports cognitive function and memory.
8. Jatyadi Ghrita,Wound healing,Check for allergies,"Wound healing, antibacterial","Jasminum officinale, Neem, Turmeric, various herbs",Promotes wound healing and skin health.
9. Chandraprabha Ghrita,Urinary disorders,Avoid in kidney stones,"Urinary disorders, rejuvenation","Ghee, various herbs and spices",Supports urinary and reproductive health.
10. Guduchyadi Ghrita,Immunity,Caution in diabetes,"Immunity, liver health","Guduchi (Tinospora cordifolia), ghee, various herbs",Supports immunity and overall health.
10. Guduchyadi Ghrita,fever,Caution in diabetes,"Immunity, liver health","Guduchi (Tinospora cordifolia), ghee, various herbs",Supports immunity and overall health.
11. Hingwadi Ghrita,Digestive disorders,Avoid in gastritis,"Digestive, anti-flatulent","Asafoetida (Ferula assa-foetida), ghee, various herbs",Aids digestion and relieves gas.
12. Bhringaraj Ghrita,Hair and skin health,Check for allergies,Hair and scalp health,"Bhringaraj (Eclipta alba), ghee, various herbs",Supports hair and skin health.
13. Bilvadi Ghrita,Gastrointestinal issues,Avoid in constipation,"Digestive, digestive disorders","Bael (Aegle marmelos), ghee, various herbs",Supports digestive health.
14. Triphala Ghrita,Digestive health,Monitor cholesterol levels,"Digestive, detoxification","Triphala (Three fruits blend), ghee, various herbs",Supports digestive and colon health.
15. Maha Panchagavya Ghrita,General health tonic,Check for dairy allergies,"General health, immunity","Cow's milk, ghee, cow's urine, cow's dung, herbs",Promotes overall well-being.
16. Abhayarishta Ghrita,Constipation,Avoid in diarrhea,"Digestive, constipation",Various herbs and spices,Supports digestive and colon health.
17. Dashamula Ghrita,Vata disorders,Use cautiously in Kapha imbalances,"Joint health, anti-inflammatory","Dashamula (Ten roots blend), ghee, various herbs",Supports joint and muscle health.
18. Brahmi Amalaki Ghrita,Brain and immunity,Caution in diabetes,"Brain health, digestive","Brahmi, Amalaki (Indian Gooseberry), ghee, herbs",Supports cognitive and digestive health.
19. Haridra Ghrita,Inflammation,Avoid in gallbladder issues,"Anti-inflammatory, skin health","Turmeric, ghee, various herbs",Supports joint and skin health.
20. Mahakalyanaka Ghrita,Respiratory issues,Use cautiously in obesity,"General health, rejuvenation","Ghee, various herbs and spices",Promotes overall health and vitality.
21. Guggulutiktaka Ghrita,Skin disorders,Monitor cholesterol levels,"Joint health, detoxification","Guggul, ghee, various herbs",Supports joint and skin health.
22. Chyawanprash Ghrita,Immunity,Check for diabetes,"Immunity, rejuvenation","Amla (Indian Gooseberry), ghee, various herbs",Promotes immunity and overall health.
22. Chyawanprash Ghrita,rejuvenation,Check for diabetes,"Immunity, rejuvenation","Amla (Indian Gooseberry), ghee, various herbs",Promotes immunity and overall health.
23. Arjuna Ghrita,Heart health,Avoid in low blood pressure,"Heart health, cardiovascular","Arjuna (Terminalia arjuna), ghee, various herbs",Supports cardiovascular health.
24. Ashwagandha Ghrita,Stress,Caution in hypothyroidism,"Stress relief, vitality","Ashwagandha (Withania somnifera), ghee, herbs",Supports stress management and vitality.
24. Ashwagandha Ghrita,fatigue,Caution in hypothyroidism,"Stress relief, vitality","Ashwagandha (Withania somnifera), ghee, herbs",Supports stress management and vitality.
25. Kamadhugha Ghrita,Fever,Check for lactose intolerance,"Nourishing, rejuvenating","Cow's ghee, herbs",Supports digestive health.
25. Kamadhugha Ghrita,respiratory issues,Check for lactose intolerance,"Nourishing, rejuvenating","Cow's ghee, herbs",Supports digestive health.
26. Kutaja Ghrita,Gastrointestinal issues,Avoid in pregnancy,"Digestive, anti-diarrheal",Kutaja (Holarrhena antidysenterica),Supports digestive health.
27. Kumkumadi Ghrita,Skin care,Avoid in oily skin types,"Skin rejuvenating, complexion-enhancing","Saffron, herbs",Supports skin health and complexion.
28. Balashwagandhadi Ghrita,Children's health,Use cautiously in obesity,"Strength-promoting, nervine tonic","Ashwagandha, Ghee, herbs",Promotes strength and vitality.
29. Kanakasava Ghrita,Respiratory issues,Avoid in chronic cough,"Respiratory support, bronchodilator","Kanaka (Datura metel), herbs",Supports respiratory and digestive health.
30. Madhuyashtyadi Ghrita,Digestive health,Caution in diabetes,"Digestive, liver tonic, diabetes management","Madhuyashti, Ghee, herbs",Supports digestive and urinary health.
31. Murivenna Ghrita,Joint and muscle pain,Avoid in open wounds,"Anti-inflammatory, analgesic, wound healing","Coconut oil, herbs",Supports wound healing and joint health.
32. Neem Ghrita,Skin disorders,Use cautiously in pitta constitution,"Skin health, anti-bacterial, anti-fungal","Neem (Azadirachta indica), Ghee",Supports skin health and immunity.
33. Pippalyadi Ghrita,Digestive disorders,Avoid in high pitta,"Digestive, immunity booster","Long pepper (Piper longum), Ghee",Supports digestive and respiratory health.
34. Pushyanuga Ghrita,Female reproductive,Avoid during menstruation,"Gynecological, uterine tonic","Pushyanuga (herbal blend), Ghee",Supports reproductive health in women.
35. Rasnadi Ghrita,Musculoskeletal issues,Monitor cholesterol levels,"Anti-inflammatory, pain relief","Rasna (Pluchea lanceolata), Ghee",Supports joint and muscle health.
36. Shilajit Ghrita,General rejuvenation,Caution in high pitta,"Rejuvenating, energy booster","Shilajit, Ghee",Promotes vitality and stamina.
37. Vasa Ghrita,Respiratory issues,Use cautiously in asthma,"Respiratory support, cough relief","Vasa (Adhatoda vasica), Ghee",Supports respiratory and immune health.
38. Vyaghri Haritaki Ghrita,Digestive disorders,Avoid in diarrhea,"Digestive, detoxifying, rejuvenating","Haritaki (Terminalia chebula), Ghee",Supports digestive and colon health.
39. Bilwadi Gutika Ghrita,Digestive disorders,Avoid in constipation,"Digestive, anti-diarrheal, digestive disorders","Bilva (Aegle marmelos), Ghee",Supports digestive health.
40. Shigru Ghrita,Joint disorders,Avoid in kidney issues,"Anti-inflammatory, joint pain relief","Shigru (Moringa oleifera), Ghee",Supports joint and bone health.
41. Eladi Ghrita,Oral health,Use cautiously in oily skin,"Skin disorders, complexion enhancer","Ela (Cardamom), Ghee",Supports skin health and complexion.
42. Kumari Ghrita,Digestive and skin health,Caution in diarrhea,"Digestive, skin health, wound healing","Kumari (Aloe vera), Ghee",Supports digestive and skin health.
43. Lavangadi Ghrita,Dental issues,Avoid in mouth ulcers,"Dental care, oral hygiene, mouth ulcers","Lavanga (Clove), Ghee",Supports digestive and respiratory health.
44. Pippalyasava Ghrita,Digestive health,Caution in gastritis,"Digestive, liver tonic, immunity booster","Pippali (Piper longum), Ghee",Supports digestive and respiratory health.
45. Trikatu Ghrita,Digestive disorders,Avoid in high pitta,"Digestive, metabolism booster","Trikatu (Blend of three spices), Ghee",Supports digestive and respiratory health.
46. Bhallatakadi Ghrita,Skin disorders,Use cautiously in sensitive skin,"Joint pain relief, anti-inflammatory","Bhallataka (Semen strychni), Ghee",Supports skin health and immunity.
47. Kumkumadi Taila Ghrita,Skin care,Avoid in oily skin types,"Skin rejuvenation, complexion enhancer","Saffron, herbs",Supports skin health and complexion.
48. Chandanadi Ghrita,Cooling and skin care,Use cautiously in cold climates,"Cooling, skin disorders","Sandalwood (Chandana), Ghee",Promotes skin health and complexion.
49. Kutajaarishta Ghrita,Gastrointestinal issues,Avoid in pregnancy,"Digestive, anti-diarrheal, digestive disorders",Kutaja (Holarrhena antidysenterica),Supports digestive and colon health.
50. Dadimadi Ghrita,Digestive disorders,Use cautiously in diabetes,Ayurvedic herbal ghee for digestive health,"Dadima (Pomegranate), various herbs and ghee",Supports digestive health.
51. Vidaryadi Ghrita,General health tonic,Check for dairy allergies,Used in Ayurveda for muscle and tissue strength,"Vidari (Pueraria tuberosa), various herbs, ghee",Supports respiratory and immune health.
52. Amrutarishta Ghrita,Immunity support,Caution in diabetes,Herbal ghee with rejuvenating properties,"Amrita (Guduchi), various herbs, ghee",Supports digestion and immune function
53. Jirakadyarishta Ghrita,Digestive health,Avoid in gastritis,Supports digestive health in Ayurveda,"Jiraka (Cumin), various herbs, ghee","Digestive support, carminative"
54. Shaddharana Ghrita,General well-being,Use cautiously in obesity,Traditionally used in Ayurvedic treatments,Various herbs and ghee,Supports weight management
55. Pippalyadi Leham Ghrita,Digestive health,Avoid in high pitta,Supports respiratory health in Ayurveda,"Pippali (Long Pepper), various herbs, ghee","Respiratory health, immunity"
56. Balaswagandhadi Leham Ghrita,Children's health,Use cautiously in obesity,Promotes strength and vitality in Ayurveda,"Ashwagandha, Bala, various herbs, ghee",Supports strength and vitality
57. Khadirarishta Ghrita,Oral health,Avoid in mouth ulcers,Used in Ayurvedic treatments for various issues,"Khadira (Acacia catechu), various herbs, ghee","Antiseptic, blood purifier"
58. Musta Ghrita,Digestive disorders,Use cautiously in diarrhea,Ayurvedic ghee with Musta (Cyperus rotundus),"Musta (Cyperus rotundus), various herbs, ghee","Digestive aid, anti-inflammatory"
59. Brahmi Ghrita (different formulation),Brain health,Avoid in lactose intolerance,Supports cognitive health in Ayurveda,"Brahmi (Bacopa monnieri), various herbs, ghee","Cognitive support, memory enhancer"
